gene,chrom,chrom_ucsc,start_1based,end_1based,start_0based,strand,gene_ids,gene_types,n_gene_records_collapsed,gencode_release,genome_build,n_canonical_chromosomes,multichromosome_symbol,coordinate_gene_symbol,coordinate_match_method,coordinate_status,window_bp,window_start_1based,window_end_1based,window_start_0based,required_for_source,source_requiring_build
GATA3,10,chr10,8045378,8075198,8045377,+,ENSG00000107485.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GATA3,exact_gene_name,MATCHED,100000,7945378,8175198,7945377,True,GBMI
GCK,7,chr7,44143213,44198170,44143212,-,ENSG00000106633.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GCK,exact_gene_name,MATCHED,100000,44043213,44298170,44043212,False,GBMI
GDF15,19,chr19,18374731,18389176,18374730,+,ENSG00000130513.6,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GDF15,exact_gene_name,MATCHED,100000,18274731,18489176,18274730,False,GBMI
GFRAL,6,chr6,55327469,55402493,55327468,+,ENSG00000187871.2,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GFRAL,exact_gene_name,MATCHED,100000,55227469,55502493,55227468,False,GBMI
GHR,5,chr5,42423439,42721878,42423438,+,ENSG00000112964.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GHR,exact_gene_name,MATCHED,100000,42323439,42821878,42323438,False,GBMI
GHRHR,7,chr7,30938669,30993254,30938668,+,ENSG00000106128.19,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GHRHR,exact_gene_name,MATCHED,100000,30838669,31093254,30838668,False,GBMI
GIPR,19,chr19,45668221,45683722,45668220,+,ENSG00000010310.9,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GIPR,exact_gene_name,MATCHED,100000,45568221,45783722,45568220,False,GBMI
GLP1R,6,chr6,39048781,39091303,39048780,+,ENSG00000112164.6,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GLP1R,exact_gene_name,MATCHED,100000,38948781,39191303,38948780,False,GBMI
GLP2R,17,chr17,9822206,9892099,9822205,+,ENSG00000065325.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GLP2R,exact_gene_name,MATCHED,100000,9722206,9992099,9722205,False,GBMI
GRM7,3,chr3,6770001,7741533,6770000,+,ENSG00000196277.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GRM7,exact_gene_name,MATCHED,100000,6670001,7841533,6670000,True,GBMI
HAMP,19,chr19,35280716,35285143,35280715,+,ENSG00000105697.9,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,HAMP,exact_gene_name,MATCHED,100000,35180716,35385143,35180715,False,GBMI
HBG1,11,chr11,5248269,5249857,5248268,-,ENSG00000213934.9,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,HBG1,exact_gene_name,MATCHED,100000,5148269,5349857,5148268,False,GBMI
HCAR2,12,chr12,122701293,122703357,122701292,-,ENSG00000182782.8,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,HCAR2,exact_gene_name,MATCHED,100000,122601293,122803357,122601292,False,GBMI
HCAR3,12,chr12,122714756,122716811,122714755,-,ENSG00000255398.3,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,HCAR3,exact_gene_name,MATCHED,100000,122614756,122816811,122614755,False,GBMI
HCRTR1,1,chr1,31617686,31632518,31617685,+,ENSG00000121764.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,HCRTR1,exact_gene_name,MATCHED,100000,31517686,31732518,31517685,True,GBMI
HMGCR,5,chr5,75336329,75364001,75336328,+,ENSG00000113161.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,HMGCR,exact_gene_name,MATCHED,100000,75236329,75464001,75236328,False,GBMI
HRH4,18,chr18,24460637,24479961,24460636,+,ENSG00000134489.7,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,HRH4,exact_gene_name,MATCHED,100000,24360637,24579961,24360636,True,GBMI
HSD11B1,1,chr1,209686178,209734949,209686177,+,ENSG00000117594.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,HSD11B1,exact_gene_name,MATCHED,100000,209586178,209834949,209586177,False,GBMI
HTR1A,5,chr5,63957874,63962507,63957873,-,ENSG00000178394.5,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,HTR1A,exact_gene_name,MATCHED,100000,63857874,64062507,63857873,False,GBMI
IAPP,12,chr12,21354959,21379980,21354958,+,ENSG00000121351.8,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IAPP,exact_gene_name,MATCHED,100000,21254959,21479980,21254958,False,GBMI
IFNGR1,6,chr6,137197485,137219449,137197484,-,ENSG00000027697.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IFNGR1,exact_gene_name,MATCHED,100000,137097485,137319449,137097484,False,GBMI
IL12A,3,chr3,159988835,159996019,159988834,+,ENSG00000168811.7,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL12A,exact_gene_name,MATCHED,100000,159888835,160096019,159888834,False,GBMI
IL12B,5,chr5,159314780,159330487,159314779,-,ENSG00000113302.5,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL12B,exact_gene_name,MATCHED,100000,159214780,159430487,159214779,False,GBMI
IL13,5,chr5,132656263,132661110,132656262,+,ENSG00000169194.9,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL13,exact_gene_name,MATCHED,100000,132556263,132761110,132556262,True,GBMI
IL17RB,3,chr3,53846568,53865794,53846567,+,ENSG00000056736.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL17RB,exact_gene_name,MATCHED,100000,53746568,53965794,53746567,True,GBMI
IL1R1,2,chr2,102064544,102179874,102064543,+,ENSG00000115594.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL1R1,exact_gene_name,MATCHED,100000,101964544,102279874,101964543,True,GBMI
IL1RL1,2,chr2,102311502,102352037,102311501,+,ENSG00000115602.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL1RL1,exact_gene_name,MATCHED,100000,102211502,102452037,102211501,True,GBMI
IL2,4,chr4,122451470,122456725,122451469,-,ENSG00000109471.5,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL2,exact_gene_name,MATCHED,100000,122351470,122556725,122351469,False,GBMI
IL2RA,10,chr10,6010689,6062370,6010688,-,ENSG00000134460.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL2RA,exact_gene_name,MATCHED,100000,5910689,6162370,5910688,False,GBMI
IL3,5,chr5,132060655,132063204,132060654,+,ENSG00000164399.5,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL3,exact_gene_name,MATCHED,100000,131960655,132163204,131960654,True,GBMI
IL33,9,chr9,6215786,6257983,6215785,+,ENSG00000137033.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL33,exact_gene_name,MATCHED,100000,6115786,6357983,6115785,True,GBMI
IL4R,16,chr16,27313668,27364778,27313667,+,ENSG00000077238.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL4R,exact_gene_name,MATCHED,100000,27213668,27464778,27213667,True,GBMI
IL5,5,chr5,132541445,132556838,132541444,-,ENSG00000113525.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL5,exact_gene_name,MATCHED,100000,132441445,132656838,132441444,True,GBMI
IL6,7,chr7,22725884,22732002,22725883,+,ENSG00000136244.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL6,exact_gene_name,MATCHED,100000,22625884,22832002,22625883,True,GBMI
IL7R,5,chr5,35852695,35879603,35852694,+,ENSG00000168685.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL7R,exact_gene_name,MATCHED,100000,35752695,35979603,35752694,False,GBMI
INPP5D,2,chr2,233059967,233207903,233059966,+,ENSG00000168918.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,INPP5D,exact_gene_name,MATCHED,100000,232959967,233307903,232959966,False,GBMI
INS,11,chr11,2159779,2161221,2159778,-,ENSG00000254647.7,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,INS,exact_gene_name,MATCHED,100000,2059779,2261221,2059778,False,GBMI
INSR,19,chr19,7112255,7294414,7112254,-,ENSG00000171105.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,INSR,exact_gene_name,MATCHED,100000,7012255,7394414,7012254,False,GBMI
ITGB7,12,chr12,53191323,53207282,53191322,-,ENSG00000139626.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ITGB7,exact_gene_name,MATCHED,100000,53091323,53307282,53091322,True,GBMI
JAK1,1,chr1,64833229,65067754,64833228,-,ENSG00000162434.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,JAK1,exact_gene_name,MATCHED,100000,64733229,65167754,64733228,False,GBMI
JAK2,9,chr9,4984390,5129948,4984389,+,ENSG00000096968.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,JAK2,exact_gene_name,MATCHED,100000,4884390,5229948,4884389,False,GBMI
KCNJ1,11,chr11,128836315,128867373,128836314,-,ENSG00000151704.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,KCNJ1,exact_gene_name,MATCHED,100000,128736315,128967373,128736314,False,GBMI
KCNJ11,11,chr11,17365172,17389331,17365171,-,ENSG00000187486.7,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,KCNJ11,exact_gene_name,MATCHED,100000,17265172,17489331,17265171,False,GBMI
KDM1A,1,chr1,23019443,23083689,23019442,+,ENSG00000004487.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,KDM1A,exact_gene_name,MATCHED,100000,22919443,23183689,22919442,False,GBMI
KIT,4,chr4,54657918,54740715,54657917,+,ENSG00000157404.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,KIT,exact_gene_name,MATCHED,100000,54557918,54840715,54557917,True,GBMI
LEPR,1,chr1,65420652,65641559,65420651,+,ENSG00000116678.20,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,LEPR,exact_gene_name,MATCHED,100000,65320652,65741559,65320651,False,GBMI
LPA,6,chr6,160531482,160664275,160531481,-,ENSG00000198670.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,LPA,exact_gene_name,MATCHED,100000,160431482,160764275,160431481,False,GBMI
LPL,8,chr8,19901717,19967259,19901716,+,ENSG00000175445.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,LPL,exact_gene_name,MATCHED,100000,19801717,20067259,19801716,False,GBMI
MAPK1,22,chr22,21759657,21867680,21759656,-,ENSG00000100030.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,MAPK1,exact_gene_name,MATCHED,100000,21659657,21967680,21659656,False,GBMI
MAPK3,16,chr16,30114105,30123506,30114104,-,ENSG00000102882.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,MAPK3,exact_gene_name,MATCHED,100000,30014105,30223506,30014104,False,GBMI
MC1R,16,chr16,89912119,89920973,89912118,+,ENSG00000258839.4,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,MC1R,exact_gene_name,MATCHED,100000,89812119,90020973,89812118,False,GBMI
MC4R,18,chr18,60371062,60372775,60371061,-,ENSG00000166603.5,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,MC4R,exact_gene_name,MATCHED,100000,60271062,60472775,60271061,False,GBMI
METAP2,12,chr12,95473520,95515839,95473519,+,ENSG00000111142.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,METAP2,exact_gene_name,MATCHED,100000,95373520,95615839,95373519,False,GBMI
MME,3,chr3,155024124,155183704,155024123,+,ENSG00000196549.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,MME,exact_gene_name,MATCHED,100000,154924124,155283704,154924123,False,GBMI
MMP12,11,chr11,102862736,102874982,102862735,-,ENSG00000262406.3,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,MMP12,exact_gene_name,MATCHED,100000,102762736,102974982,102762735,True,GBMI
MPL,1,chr1,43337818,43354466,43337817,+,ENSG00000117400.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,MPL,exact_gene_name,MATCHED,100000,43237818,43454466,43237817,False,GBMI
MTTP,4,chr4,99564081,99623997,99564080,+,ENSG00000138823.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,MTTP,exact_gene_name,MATCHED,100000,99464081,99723997,99464080,False,GBMI
NFE2L2,2,chr2,177227595,177392697,177227594,-,ENSG00000116044.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NFE2L2,exact_gene_name,MATCHED,100000,177127595,177492697,177127594,False,GBMI
NFKB1,4,chr4,102501331,102617302,102501330,+,ENSG00000109320.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NFKB1,exact_gene_name,MATCHED,100000,102401331,102717302,102401330,True,GBMI
NOS3,7,chr7,150991017,151014588,150991016,+,ENSG00000164867.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NOS3,exact_gene_name,MATCHED,100000,150891017,151114588,150891016,True,GBMI
NOX4,11,chr11,89324353,89498187,89324352,-,ENSG00000086991.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NOX4,exact_gene_name,MATCHED,100000,89224353,89598187,89224352,False,GBMI
NPC1L1,7,chr7,44512535,44541330,44512534,-,ENSG00000015520.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NPC1L1,exact_gene_name,MATCHED,100000,44412535,44641330,44412534,False,GBMI
NPR1,1,chr1,153678688,153693992,153678687,+,ENSG00000169418.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NPR1,exact_gene_name,MATCHED,100000,153578688,153793992,153578687,False,GBMI
NPY,7,chr7,24284188,24291862,24284187,+,ENSG00000122585.8,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NPY,exact_gene_name,MATCHED,100000,24184188,24391862,24184187,False,GBMI
NPY5R,4,chr4,163343892,163351934,163343891,+,ENSG00000164129.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NPY5R,exact_gene_name,MATCHED,100000,163243892,163451934,163243891,False,GBMI
NR1H3,11,chr11,47248300,47269033,47248299,+,ENSG00000025434.19,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NR1H3,exact_gene_name,MATCHED,100000,47148300,47369033,47148299,False,GBMI
NR1H4,12,chr12,100473708,100564414,100473707,+,ENSG00000012504.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NR1H4,exact_gene_name,MATCHED,100000,100373708,100664414,100373707,False,GBMI
NR3C1,5,chr5,143277931,143435512,143277930,-,ENSG00000113580.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NR3C1,exact_gene_name,MATCHED,100000,143177931,143535512,143177930,True,GBMI
OPRL1,20,chr20,64080082,64100643,64080081,+,ENSG00000125510.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,OPRL1,exact_gene_name,MATCHED,100000,63980082,64200643,63980081,False,GBMI
OPRM1,6,chr6,154010496,154246867,154010495,+,ENSG00000112038.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,OPRM1,exact_gene_name,MATCHED,100000,153910496,154346867,153910495,False,GBMI
P2RY2,11,chr11,73218281,73242427,73218280,+,ENSG00000175591.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,P2RY2,exact_gene_name,MATCHED,100000,73118281,73342427,73118280,True,GBMI
PCSK9,1,chr1,55039447,55064852,55039446,+,ENSG00000169174.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PCSK9,exact_gene_name,MATCHED,100000,54939447,55164852,54939446,False,GBMI
PDE3A,12,chr12,20368537,20688583,20368536,+,ENSG00000172572.7,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PDE3A,exact_gene_name,MATCHED,100000,20268537,20788583,20268536,True,GBMI
PDE4A,19,chr19,10416773,10469630,10416772,+,ENSG00000065989.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PDE4A,exact_gene_name,MATCHED,100000,10316773,10569630,10316772,False,GBMI
PDE4B,1,chr1,65792514,66374579,65792513,+,ENSG00000184588.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PDE4B,exact_gene_name,MATCHED,100000,65692514,66474579,65692513,True,GBMI
PDE4C,19,chr19,18208652,18248200,18208651,-,ENSG00000105650.22,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PDE4C,exact_gene_name,MATCHED,100000,18108652,18348200,18108651,False,GBMI
PDE4D,5,chr5,58969038,60522120,58969037,-,ENSG00000113448.19,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PDE4D,exact_gene_name,MATCHED,100000,58869038,60622120,58869037,True,GBMI
PDE5A,4,chr4,119494397,119628804,119494396,-,ENSG00000138735.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PDE5A,exact_gene_name,MATCHED,100000,119394397,119728804,119394396,False,GBMI
PIK3CA,3,chr3,179148114,179240093,179148113,+,ENSG00000121879.6,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PIK3CA,exact_gene_name,MATCHED,100000,179048114,179340093,179048113,False,GBMI
PIK3CB,3,chr3,138652698,138834928,138652697,-,ENSG00000051382.9,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PIK3CB,exact_gene_name,MATCHED,100000,138552698,138934928,138552697,False,GBMI
PIK3CD,1,chr1,9651731,9729114,9651730,+,ENSG00000171608.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PIK3CD,exact_gene_name,MATCHED,100000,9551731,9829114,9551730,False,GBMI
PIK3CG,7,chr7,106865278,106908980,106865277,+,ENSG00000105851.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PIK3CG,exact_gene_name,MATCHED,100000,106765278,107008980,106765277,False,GBMI
PKLR,1,chr1,155289293,155301438,155289292,-,ENSG00000143627.19,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PKLR,exact_gene_name,MATCHED,100000,155189293,155401438,155189292,False,GBMI
PNPLA3,22,chr22,43923792,43964488,43923791,+,ENSG00000100344.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PNPLA3,exact_gene_name,MATCHED,100000,43823792,44064488,43823791,False,GBMI
PPARA,22,chr22,46150521,46243756,46150520,+,ENSG00000186951.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PPARA,exact_gene_name,MATCHED,100000,46050521,46343756,46050520,False,GBMI
PPARD,6,chr6,35342558,35428191,35342557,+,ENSG00000112033.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PPARD,exact_gene_name,MATCHED,100000,35242558,35528191,35242557,False,GBMI
PPARG,3,chr3,12287368,12434356,12287367,+,ENSG00000132170.24,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PPARG,exact_gene_name,MATCHED,100000,12187368,12534356,12187367,True,GBMI
RARG,12,chr12,53210567,53232980,53210566,-,ENSG00000172819.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,RARG,exact_gene_name,MATCHED,100000,53110567,53332980,53110566,True,GBMI
REN,1,chr1,204154819,204190324,204154818,-,ENSG00000143839.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,REN,exact_gene_name,MATCHED,100000,204054819,204290324,204054818,False,GBMI
SELE,1,chr1,169722640,169764705,169722639,-,ENSG00000007908.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SELE,exact_gene_name,MATCHED,100000,169622640,169864705,169622639,False,GBMI
SERPINA1,14,chr14,94376747,94390693,94376746,-,ENSG00000197249.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SERPINA1,exact_gene_name,MATCHED,100000,94276747,94490693,94276746,True,GBMI
SLC10A2,13,chr13,103043998,103066417,103043997,-,ENSG00000125255.7,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SLC10A2,exact_gene_name,MATCHED,100000,102943998,103166417,102943997,False,GBMI
SLC12A2,5,chr5,128083766,128189677,128083765,+,ENSG00000064651.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SLC12A2,exact_gene_name,MATCHED,100000,127983766,128289677,127983765,False,GBMI
SLC22A12,11,chr11,64590641,64602353,64590640,+,ENSG00000197891.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SLC22A12,exact_gene_name,MATCHED,100000,64490641,64702353,64490640,True,GBMI
SLC40A1,2,chr2,189560590,189583758,189560589,-,ENSG00000138449.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SLC40A1,exact_gene_name,MATCHED,100000,189460590,189683758,189460589,False,GBMI
SLC5A1,22,chr22,32043261,32113029,32043260,+,ENSG00000100170.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SLC5A1,exact_gene_name,MATCHED,100000,31943261,32213029,31943260,False,GBMI
SLC6A4,17,chr17,30194319,30236002,30194318,-,ENSG00000108576.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SLC6A4,exact_gene_name,MATCHED,100000,30094319,30336002,30094318,False,GBMI
SOST,17,chr17,43753738,43758791,43753737,-,ENSG00000167941.3,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SOST,exact_gene_name,MATCHED,100000,43653738,43858791,43653737,False,GBMI
SREBF1,17,chr17,17810399,17837002,17810398,-,ENSG00000072310.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SREBF1,exact_gene_name,MATCHED,100000,17710399,17937002,17710398,False,GBMI
SREBF2,22,chr22,41833079,41907307,41833078,+,ENSG00000198911.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SREBF2,exact_gene_name,MATCHED,100000,41733079,42007307,41733078,False,GBMI
TGFB1,19,chr19,41301587,41353922,41301586,-,ENSG00000105329.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,TGFB1,exact_gene_name,MATCHED,100000,41201587,41453922,41201586,False,GBMI
THPO,3,chr3,184371935,184381968,184371934,-,ENSG00000090534.20,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,THPO,exact_gene_name,MATCHED,100000,184271935,184481968,184271934,False,GBMI
THRB,3,chr3,24117153,24495756,24117152,-,ENSG00000151090.20,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,THRB,exact_gene_name,MATCHED,100000,24017153,24595756,24017152,False,GBMI
TNFRSF1A,12,chr12,6328757,6342114,6328756,-,ENSG00000067182.8,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,TNFRSF1A,exact_gene_name,MATCHED,100000,6228757,6442114,6228756,False,GBMI
TNFSF13,17,chr17,7558292,7561608,7558291,+,ENSG00000161955.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,TNFSF13,exact_gene_name,MATCHED,100000,7458292,7661608,7458291,False,GBMI
TNFSF15,9,chr9,114784652,114806039,114784651,-,ENSG00000181634.8,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,TNFSF15,exact_gene_name,MATCHED,100000,114684652,114906039,114684651,True,GBMI
TNFSF4,1,chr1,173183731,173207331,173183730,-,ENSG00000117586.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,TNFSF4,exact_gene_name,MATCHED,100000,173083731,173307331,173083730,True,GBMI
TP53,17,chr17,7661779,7687538,7661778,-,ENSG00000141510.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,TP53,exact_gene_name,MATCHED,100000,7561779,7787538,7561778,False,GBMI
TSLP,5,chr5,111070062,111078026,111070061,+,ENSG00000145777.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,TSLP,exact_gene_name,MATCHED,100000,110970062,111178026,110970061,True,GBMI
TYK2,19,chr19,10350529,10380572,10350528,-,ENSG00000105397.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,TYK2,exact_gene_name,MATCHED,100000,10250529,10480572,10250528,True,GBMI
VDR,12,chr12,47841537,47943048,47841536,-,ENSG00000111424.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,VDR,exact_gene_name,MATCHED,100000,47741537,48043048,47741536,False,GBMI
VEGFA,6,chr6,43770184,43786487,43770183,+,ENSG00000112715.25,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,VEGFA,exact_gene_name,MATCHED,100000,43670184,43886487,43670183,False,GBMI
VWF,12,chr12,5948877,6124770,5948876,-,ENSG00000110799.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,VWF,exact_gene_name,MATCHED,100000,5848877,6224770,5848876,True,GBMI
