STUDY ACCESSION	PUBMEDID	FIRST AUTHOR	DATE	INITIAL SAMPLE DESCRIPTION	REPLICATION SAMPLE DESCRIPTION	STAGE	NUMBER OF INDIVDUALS	BROAD ANCESTRAL CATEGORY	COUNTRY OF ORIGIN	COUNTRY OF RECRUITMENT	ADDITONAL ANCESTRY DESCRIPTION
GCST011374	29228018	Roos TR	2017-12-11	6,993 European ancestry cases, 669 Latin American cases, 394 East Asian ancestry cases, 269 African American cases, 32 South Asian ancestry cases, 76,271 European ancestry controls, 7,891 Latin American controls, 7,124 East Asian ancestry controls, 2,892 African American controls, 444 South Asian ancestry controls	NA	initial	83264	European	NR	NR	
GCST011374	29228018	Roos TR	2017-12-11	6,993 European ancestry cases, 669 Latin American cases, 394 East Asian ancestry cases, 269 African American cases, 32 South Asian ancestry cases, 76,271 European ancestry controls, 7,891 Latin American controls, 7,124 East Asian ancestry controls, 2,892 African American controls, 444 South Asian ancestry controls	NA	initial	7518	East Asian	NR	NR	
GCST011374	29228018	Roos TR	2017-12-11	6,993 European ancestry cases, 669 Latin American cases, 394 East Asian ancestry cases, 269 African American cases, 32 South Asian ancestry cases, 76,271 European ancestry controls, 7,891 Latin American controls, 7,124 East Asian ancestry controls, 2,892 African American controls, 444 South Asian ancestry controls	NA	initial	3161	African American or Afro-Caribbean	NR	NR	
GCST011374	29228018	Roos TR	2017-12-11	6,993 European ancestry cases, 669 Latin American cases, 394 East Asian ancestry cases, 269 African American cases, 32 South Asian ancestry cases, 76,271 European ancestry controls, 7,891 Latin American controls, 7,124 East Asian ancestry controls, 2,892 African American controls, 444 South Asian ancestry controls	NA	initial	476	South Asian	NR	NR	
GCST006433	30048462	Kim SK	2018-07-26	394,929 European ancestry individuals	NA	initial	394929	European	NR	NR	
GCST90091014	34446064	Cade BE	2021-08-26	1,942 African American individuals	NA	initial	1942	African American or Afro-Caribbean	NR	U.S.	
GCST90091015	34446064	Cade BE	2021-08-26	8,341 European ancestry individuals	NA	initial	8341	European	NR	U.S., Australia	
GCST90091016	34446064	Cade BE	2021-08-26	10,545 European, African American, Hispanic/Latino or East Asian ancestry male individuals	NA	initial	10545	European, African American or Afro-Caribbean, Hispanic or Latin American, East Asian	NR	U.S., Australia	
GCST90091017	34446064	Cade BE	2021-08-26	10,060 European, African American, Hispanic/Latino or East Asian ancestry individuals	NA	initial	10060	European, African American or Afro-Caribbean, Hispanic or Latin American, East Asian	NR	U.S., Australia	
GCST90091018	34446064	Cade BE	2021-08-26	7,832 European ancestry individuals	NA	initial	7832	European	NR	U.S., Australia	
GCST90091019	34446064	Cade BE	2021-08-26	4,985 European male ancestry individuals	NA	initial	4985	European	NR	U.S., Australia	
GCST90091020	34446064	Cade BE	2021-08-26	5,943 European, African American, Hispanic/Latino or East Asian ancestry male individuals	NA	initial	5943	European, African American or Afro-Caribbean, Hispanic or Latin American, East Asian	NR	U.S., Australia	
GCST90091021	34446064	Cade BE	2021-08-26	21,126 European, African American, Hispanic/Latino or East Asian ancestry individuals	NA	initial	21126	European, African American or Afro-Caribbean, Hispanic or Latin American, East Asian	NR	U.S., Australia	
GCST90091022	34446064	Cade BE	2021-08-26	8,225 European ancestry individuals	NA	initial	8225	European	NR	U.S., Australia	
GCST90091023	34446064	Cade BE	2021-08-26	10,759 Hispanic/Latino individuals	NA	initial	10759	Hispanic or Latin American	NR	U.S.	
GCST90091024	34446064	Cade BE	2021-08-26	4,167 Hispanic/Latino male ancestry individuals	NA	initial	4167	Hispanic or Latin American	NR	U.S.	
GCST90091025	34446064	Cade BE	2021-08-26	21,128 European, African American, Hispanic/Latino or East Asian ancestry individuals	NA	initial	21128	European, African American or Afro-Caribbean, Hispanic or Latin American, East Asian	NR	U.S., Australia	
GCST90091026	34446064	Cade BE	2021-08-26	5,173 European male ancestry individuals	NA	initial	5173	European	NR	U.S., Australia	
GCST90091027	34446064	Cade BE	2021-08-26	10,652 European, African American, Hispanic/Latino or East Asian ancestry female individuals	NA	initial	10652	European, African American or Afro-Caribbean, Hispanic or Latin American, East Asian	NR	U.S., Australia	
GCST90091028	34446064	Cade BE	2021-08-26	9,977 Hispanic/Latino individuals	NA	initial	9977	Hispanic or Latin American	NR	U.S.	
GCST90091029	34446064	Cade BE	2021-08-26	10,476 European, African American, Hispanic/Latino or East Asian ancestry male individuals	NA	initial	10476	European, African American or Afro-Caribbean, Hispanic or Latin American, East Asian	NR	U.S., Australia	
GCST90091030	34446064	Cade BE	2021-08-26	21,244 European, African American, Hispanic/Latino or East Asian ancestry individuals	NA	initial	21244	East Asian, European, African American or Afro-Caribbean, Hispanic or Latin American	NR	U.S., Australia	
GCST90091031	34446064	Cade BE	2021-08-26	1,727 European male ancestry individuals	NA	initial	1727	European	NR	U.S., Australia	
GCST90091032	34446064	Cade BE	2021-08-26	10,759 Hispanic/Latino individuals	NA	initial	10759	Hispanic or Latin American	NR	U.S.	
GCST90091013	34446064	Cade BE	2021-08-26	21,244 European, African American, Hispanic/Latino or East Asian ancestry individuals	NA	initial	21244	European, African American or Afro-Caribbean, Hispanic or Latin American, East Asian	NR	U.S., Australia	
GCST011523	33729212	Suri P	2021-02-04	8,326 European ancestry cases, 97,106 European ancestry controls	3,239 European ancestry cases, 268,755 European ancestry controls	initial	105432	European	NR	NR	
GCST011523	33729212	Suri P	2021-02-04	8,326 European ancestry cases, 97,106 European ancestry controls	3,239 European ancestry cases, 268,755 European ancestry controls	replication	271994	European	NR	U.K.	
GCST011522	33729212	Suri P	2021-02-04	23,411 European ancestry cases, 82,405 European ancestry controls	18,169 European ancestry cases, 267,742 European ancestry controls	initial	105816	European	NR	NR	
GCST011522	33729212	Suri P	2021-02-04	23,411 European ancestry cases, 82,405 European ancestry controls	18,169 European ancestry cases, 267,742 European ancestry controls	replication	285911	European	NR	U.K.	
GCST011524	33729212	Suri P	2021-02-04	20,838 European ancestry cases, 84,642 European ancestry controls	16,575 European ancestry cases, 267,860 European ancestry controls	initial	105480	European	NR	NR	
GCST011524	33729212	Suri P	2021-02-04	20,838 European ancestry cases, 84,642 European ancestry controls	16,575 European ancestry cases, 267,860 European ancestry controls	replication	284435	European	NR	U.K.	
GCST010677	32953199	Liu Z	2019-03-01	102 European ancestry individuals, 19 African ancestry individuals	NA	initial	102	European	NR	NR	
GCST010677	32953199	Liu Z	2019-03-01	102 European ancestry individuals, 19 African ancestry individuals	NA	initial	19	African unspecified	NR	NR	
GCST010678	32953199	Liu Z	2019-03-01	102 European ancestry individuals, 19 African ancestry individuals	NA	initial	102	European	NR	NR	
GCST010678	32953199	Liu Z	2019-03-01	102 European ancestry individuals, 19 African ancestry individuals	NA	initial	19	African unspecified	NR	NR	
GCST90000614	32242144	Revez JA	2020-04-02	417,580 European ancestry individuals	80,998 European ancestry individuals, 1,632 individuals	initial	417580	European	NR	U.K.	
GCST90000614	32242144	Revez JA	2020-04-02	417,580 European ancestry individuals	80,998 European ancestry individuals, 1,632 individuals	replication	80998	European	NR	Canada, U.S., NR, Australia	
GCST90000614	32242144	Revez JA	2020-04-02	417,580 European ancestry individuals	80,998 European ancestry individuals, 1,632 individuals	replication	1632	NR	NR	U.K.	
GCST90000615	32242144	Revez JA	2020-04-02	417,580 European ancestry individuals	NA	initial	417580	European	NR	U.K.	
GCST90000616	32242144	Revez JA	2020-04-02	417,580 European ancestry individuals	NA	initial	417580	European	NR	U.K.	
GCST90000617	32242144	Revez JA	2020-04-02	417,580 European ancestry individuals	NA	initial	417580	European	NR	U.K.	
GCST90000618	32242144	Revez JA	2020-04-02	496,946 European ancestry individuals	NA	initial	496946	European	NR	U.K.	
GCST90000619	32242144	Revez JA	2020-04-02	177,082 European ancestry individuals	NA	initial	177082	European	NR	U.K.	
GCST90000620	32242144	Revez JA	2020-04-02	162,591 European ancestry individuals	NA	initial	162591	European	NR	U.K.	
GCST90000621	32242144	Revez JA	2020-04-02	318,851 European ancestry individuals	NA	initial	318851	European	NR	U.K.	
GCST90000622	32242144	Revez JA	2020-04-02	339,673 European ancestry individuals	NA	initial	339673	European	NR	U.K.	
GCST011036	33144438	Kamimura S	2020-11-01	195 Japanese ancestry cases, 1,553 Japanese ancestry controls	753 Japanese ancestry cases, 1,358 Japanese ancestry controls	initial	1748	East Asian	NR	Japan	
GCST011036	33144438	Kamimura S	2020-11-01	195 Japanese ancestry cases, 1,553 Japanese ancestry controls	753 Japanese ancestry cases, 1,358 Japanese ancestry controls	replication	2111	East Asian	NR	Japan	
GCST90091828	34023362	Li B	2021-05-20	1,872 Han Chinese ancestry individuals	817 Han Chinese ancestry individuals	initial	1872	East Asian	NR	NR	
GCST90091828	34023362	Li B	2021-05-20	1,872 Han Chinese ancestry individuals	817 Han Chinese ancestry individuals	replication	817	East Asian	NR	NR	
GCST90093095	34023362	Li B	2021-05-20	1,192 Han Chinese ancestry females	509 Han Chinese ancestry females	initial	1192	East Asian	NR	NR	
GCST90093095	34023362	Li B	2021-05-20	1,192 Han Chinese ancestry females	509 Han Chinese ancestry females	replication	509	East Asian	NR	NR	
GCST90093096	34023362	Li B	2021-05-20	680 Han Chinese ancestry males	308 Han Chinese ancestry males	initial	680	East Asian	NR	NR	
GCST90093096	34023362	Li B	2021-05-20	680 Han Chinese ancestry males	308 Han Chinese ancestry males	replication	308	East Asian	NR	NR	
GCST90093121	34836030	Park S	2021-10-25	17,545 Korean ancestry cases, 36,283 Korean ancestry controls	2,756 East Asian ancestry cases, 5,395 East Asian ancestry controls	initial	53828	East Asian	NR	Republic of Korea	
GCST90093121	34836030	Park S	2021-10-25	17,545 Korean ancestry cases, 36,283 Korean ancestry controls	2,756 East Asian ancestry cases, 5,395 East Asian ancestry controls	replication	8151	East Asian	NR	Republic of Korea	
GCST90017127	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	14306	European	NR	Canada, Netherlands, Sweden, U.S., Belgium, Finland, Denmark, U.K., Germany	
GCST90017127	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	811	East Asian	NR	Republic of Korea	
GCST90017127	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	1097	Hispanic or Latin American	NR	U.S.	
GCST90017127	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	114	African American or Afro-Caribbean	NR	U.S.	
GCST90017127	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	481	Greater Middle Eastern (Middle Eastern, North African or Persian)	NR	Israel	
GCST90017127	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	1531	NR, Other admixed ancestry	NR	Canada, Netherlands	
GCST90017128	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	14306	European	NR	Canada, Netherlands, Sweden, U.S., Belgium, Finland, Denmark, U.K., Germany	
GCST90017128	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	811	East Asian	NR	Republic of Korea	
GCST90017128	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	1097	Hispanic or Latin American	NR	U.S.	
GCST90017128	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	114	African American or Afro-Caribbean	NR	U.S.	
GCST90017128	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	481	Greater Middle Eastern (Middle Eastern, North African or Persian)	NR	Israel	
GCST90017128	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	1531	NR, Other admixed ancestry	NR	Canada, Netherlands	
GCST90017129	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	14306	European	NR	Canada, Netherlands, Sweden, U.S., Belgium, Finland, Denmark, U.K., Germany	
GCST90017129	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	811	East Asian	NR	Republic of Korea	
GCST90017129	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	1097	Hispanic or Latin American	NR	U.S.	
GCST90017129	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	114	African American or Afro-Caribbean	NR	U.S.	
GCST90017129	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	481	Greater Middle Eastern (Middle Eastern, North African or Persian)	NR	Israel	
GCST90017129	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	1531	NR, Other admixed ancestry	NR	Canada, Netherlands	
GCST90017130	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	14306	European	NR	Canada, Netherlands, Sweden, U.S., Belgium, Finland, Denmark, U.K., Germany	
GCST90017130	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	811	East Asian	NR	Republic of Korea	
GCST90017130	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	1097	Hispanic or Latin American	NR	U.S.	
GCST90017130	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	114	African American or Afro-Caribbean	NR	U.S.	
GCST90017130	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	481	Greater Middle Eastern (Middle Eastern, North African or Persian)	NR	Israel	
GCST90017130	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	1531	NR, Other admixed ancestry	NR	Canada, Netherlands	
GCST90017131	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	14306	European	NR	Canada, Netherlands, Sweden, U.S., Belgium, Finland, Denmark, U.K., Germany	
GCST90017131	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	811	East Asian	NR	Republic of Korea	
GCST90017131	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	1097	Hispanic or Latin American	NR	U.S.	
GCST90017131	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	114	African American or Afro-Caribbean	NR	U.S.	
GCST90017131	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	481	Greater Middle Eastern (Middle Eastern, North African or Persian)	NR	Israel	
GCST90017131	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	1531	NR, Other admixed ancestry	NR	Canada, Netherlands	
GCST90017132	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	14306	European	NR	Canada, Netherlands, Sweden, U.S., Belgium, Finland, Denmark, U.K., Germany	
GCST90017132	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	811	East Asian	NR	Republic of Korea	
GCST90017132	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	1097	Hispanic or Latin American	NR	U.S.	
GCST90017132	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	114	African American or Afro-Caribbean	NR	U.S.	
GCST90017132	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	481	Greater Middle Eastern (Middle Eastern, North African or Persian)	NR	Israel	
GCST90017132	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	1531	NR, Other admixed ancestry	NR	Canada, Netherlands	
GCST90016964	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	14306	European	NR	Canada, Netherlands, Sweden, U.S., Belgium, Finland, Denmark, U.K., Germany	
GCST90016964	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	811	East Asian	NR	Republic of Korea	
GCST90016964	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	1097	Hispanic or Latin American	NR	U.S.	
GCST90016964	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	114	African American or Afro-Caribbean	NR	U.S.	
GCST90016964	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	481	Greater Middle Eastern (Middle Eastern, North African or Persian)	NR	Israel	
GCST90016964	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	1531	NR, Other admixed ancestry	NR	Canada, Netherlands	
GCST90016965	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	14306	European	NR	Canada, Netherlands, Sweden, U.S., Belgium, Finland, Denmark, U.K., Germany	
GCST90016965	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	811	East Asian	NR	Republic of Korea	
GCST90016965	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	1097	Hispanic or Latin American	NR	U.S.	
GCST90016965	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	114	African American or Afro-Caribbean	NR	U.S.	
GCST90016965	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	481	Greater Middle Eastern (Middle Eastern, North African or Persian)	NR	Israel	
GCST90016965	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	1531	NR, Other admixed ancestry	NR	Canada, Netherlands	
GCST90016966	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	14306	European	NR	Canada, Netherlands, Sweden, U.S., Belgium, Finland, Denmark, U.K., Germany	
GCST90016966	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	811	East Asian	NR	Republic of Korea	
GCST90016966	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	1097	Hispanic or Latin American	NR	U.S.	
GCST90016966	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	114	African American or Afro-Caribbean	NR	U.S.	
GCST90016966	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	481	Greater Middle Eastern (Middle Eastern, North African or Persian)	NR	Israel	
GCST90016966	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	1531	NR, Other admixed ancestry	NR	Canada, Netherlands	
GCST90016967	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	14306	European	NR	Canada, Netherlands, Sweden, U.S., Belgium, Finland, Denmark, U.K., Germany	
GCST90016967	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	811	East Asian	NR	Republic of Korea	
GCST90016967	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	1097	Hispanic or Latin American	NR	U.S.	
GCST90016967	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	114	African American or Afro-Caribbean	NR	U.S.	
GCST90016967	33462485	Kurilshikov A	2021-01-18	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	initial	481	Greater Middle Eastern (Middle Eastern, North African or Persian)	NR	Israel	
